"country","col.belgium","col.britain","col.france","col.germany","col.italy","col.netherlands","col.portugal","col.spain","colstart.belgium_max","colstart.britain_max","colstart.france_max","colstart.germany_max","colstart.italy_max","colstart.netherlands_max","colstart.portugal_max","colstart.spain_max","colend.belgium_max","colend.britain_max","colend.france_max","colend.germany_max","colend.italy_max","colend.netherlands_max","colend.portugal_max","colend.spain_max","colstart.belgium_mean","colstart.britain_mean","colstart.france_mean","colstart.germany_mean","colstart.italy_mean","colstart.netherlands_mean","colstart.portugal_mean","colstart.spain_mean","colend.belgium_mean","colend.britain_mean","colend.france_mean","colend.germany_mean","colend.italy_mean","colend.netherlands_mean","colend.portugal_mean","colend.spain_mean"
"Ireland",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Israel",0,1,0,0,0,0,0,0,NA,1923,NA,NA,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA,NA,NA,1920,NA,NA,NA,NA,NA,NA,NA,1948,NA,NA,NA,NA,NA,NA
"Italy",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamaica",0,1,0,0,0,0,0,1,NA,1655,NA,NA,NA,NA,NA,1509,NA,1962,NA,NA,NA,NA,NA,1655,NA,1655,NA,NA,NA,NA,NA,1509,NA,1962,NA,NA,NA,NA,NA,1655
"Japan",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan",0,1,0,0,0,0,0,0,NA,1923,NA,NA,NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,NA,NA,NA,1923,NA,NA,NA,NA,NA,NA,NA,1946,NA,NA,NA,NA,NA,NA
"Kazakhstan",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenya",0,1,0,0,0,0,0,0,NA,1895,NA,NA,NA,NA,NA,NA,NA,1963,NA,NA,NA,NA,NA,NA,NA,1891,NA,NA,NA,NA,NA,NA,NA,1963,NA,NA,NA,NA,NA,NA
"Kiribati",0,1,0,0,0,0,0,0,NA,1892,NA,NA,NA,NA,NA,NA,NA,1979,NA,NA,NA,NA,NA,NA,NA,1892,NA,NA,NA,NA,NA,NA,NA,1979,NA,NA,NA,NA,NA,NA
"Kosovo",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
